Product ASIN,Product Name,Title,Rating,Reviews
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Product quality Remote,5,"Excellent product for the money,good picture and color quality.perfect size for your bedroom.But poor quality remote,I am stuck with the TV without a good remote."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good Product,5,As per price product match the level. Good sound quality and Good picture quality. Update new features.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),1st online TV,4,Good TV.... DELIVERY Was quick n safe... Installation was within 24 hrs.... Product is value for money... Picture n sound quality also good ... Day 1 review
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Nice product at affordable price point,5,Good Quality product. This tv has good video quality and sound. Easy to set-up. Delivered and installed on time.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),TV without table stand,3,The TV box did not come with a stand. Samsung installation people have to order it from Mumbai which will come after 2 days. The advertisement shows the TV with a stand
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Good,4,"Overall good experience. The picture quality is not amazing, but still good enough. Installation service was good (in Guwahati)"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Sound quality not good,4,Sound quality not that good and has bezels but okay for the price
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), About tv stands?,5,Please respond to my review. And provide the which I want and need
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),4.0 out of 5 stars Good tv,4,"Good tv with price flatuation, bought at above 15000 but after some days its cost show near 13000, overall tv performance is good but we need some time when we power on the tv to use its all functions like YouTube or samsung tv."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Best product worth value money,4,"Best product worth value money From Samsung but material is all plastic and now feels like screen is also fibre and very light weight but at 10000 worth all these features of smart tv, so go for it. But installation was challenging as only wall mount or tv top table… so wall mount was 400 and TV TOP was 109*2=218.. so paid for tv top though service man asked 400 for either but latter good man as he agreed."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Not a good picture quality,3,"Picture quality is not good, specially in case of songs and action sequence like speedy scenes, it's really bad"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Beautiful Picture Quality,4,Lack Some Basic Functionality like bluetooth But Still Very fast Operating System and amazing picture and sound quality. It's Good for using as TV and Not Second Screen For Smartphone or laptop
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Perfect for budget friendly smart TV!,5,"The Samsung 32-inch Smart LED TV delivers amazing picture quality, clear sound, and smooth performance. The smart features work flawlessly, with quick access to apps like Netflix, YouTube, and Prime Video. Design is sleek, and the remote is easy to use. Perfect for a budget-friendly smart TV! Highly recommended!"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Stand missing,3,Product is good but stand was missing.not fully satisfied
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Installation,4,The item delivered. Has this been info?med to Samsung installation team. When do I expect my installation engineer? Hopefully by tomorrow
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Very nice picture sound quality & bezzer less design looking so stylist,5,Very nice picture sound quality & bezzer less design looking so stylist beautiful price is worthful samsung brand
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Poor service from samsung,2,"Product delivered on time, but installation is taking long time from samsung service centre. Even went to direct service centre for installation but no proper response."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Samsung cs is poor,3,Product is very good but samsung installation person isnot co operative
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Table top not received,3,"We have not received table top with this product, which is necessary for us"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black)," Incomplete product, TV stand missing",2,"I received the Samsung led, but it's stand was missing in the package."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Feels overrated,2,Felt kind of overrated spending almost 15k for such a slow processor 1 star efficiency tv there are cheaper models with almost same features and quality...this is just a brand
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),2.0 out of 5 stars Very poor picture quality,2,Picture quality is very poor. Faces are unrecognisable. Dolby Digital Plus is inoperative. Redmi LED is better than this one
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Best tv and specially samsung tv plus is a add on jam,5,I love this tv re recommend to buy. And samsung tv plus is a add on jam which freely available in samsung android tv which helps my child to watch live cartoon channels and my father to watch hindi news channels..
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Best offer,5,"I got the TV and remote wasn't working, they replaced remote from samsung. Now it's perfect. I got it in offer. My friend got the same TV in higher price in a local showroom. This way Amazon is the Best."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Brought at offer and well fitted to kids room,4,Picture quality is too good for a kid room size. Received installation also with in 48 hours. Quality of the product is nice.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),About tv stands?,5,Item is good but in the box not providing tv stands.Please respond to my review. And provide the which I want and need
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Software issue,3,"Software is not good, many time hanging slow response"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Missing table top,4,TV tabletop missing during delivery
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Samsung 32inch review - A Compact Marvel of Visual Brilliance,5,"The Samsung stands out as a commendable choice in the 32-inch TV category, offering a perfect blend of compact design, impressive picture quality, and smart features"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), No tv stand or something to mount on wall,2,There is no tv stand or something to mount on wall inside the box
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Very poor picture quality,2,Picture quality is very poor. Faces are unrecognisable. Dolby Digital Plus is inoperative. Redmi LED is better than this one
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Best tv and specially samsung tv plus is a add on jam,5,I love this tv re recommend to buy. And samsung tv plus is a add on jam which freely available in samsung android tv which helps my child to watch live cartoon channels and my father to watch hindi news channels..
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Good product,4,Delivered and installed with satisfaction. I bought 43 inches Samsung TV and quality of Amazon delivery is good.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Best tv for better price,4,"Picture quality is ok,in box no mount bracket and table mount bracket,I buy this item but no one comes to install the telivision now on words they told we ordered the mounting bracket that is so , otherwise product is ok"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),"Decent Smart TV, But Sound and Color Could Be Better",3,"The Samsung 32-inch has a sleek design and decent smart features, making it a good choice for basic entertainment needs. The interface is smooth, and apps run without lag. However, the sound quality is not very impressive, it lacks depth and feels a bit low even at higher volumes. The color output also seems slightly off, with some shades appearing dull or oversaturated. While it’s a budget-friendly option with Samsung’s reliability, those looking for vibrant picture quality and rich sound might need to consider additional speakers or a higher-end model."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Value for money,5,"Budget friendly samsung trust , excellent service technician, wall mount bracket or tv stand free with the product but separately at the time of installation. Good picture quality- true color, u can raise brightness by dynamic option in settings, smooth functions, very good sound. Value for money if bought 12k. Insurance is only valid if bought with tv. If u want can purchase separately but outside Ama zon or flip k a rt"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Not satisfied with the product quality.,3,The remote of the TV was not working since installation dtd. 05.05.2025. Request for the new remote but till date not received (08.05.2025). This is very strange that a normal TV remote is not available and they are selling the product since a long years. Called to the customer care and they said the remote can be replaced on 14.05.2025.Totally dissatisfied.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Awesome TV,5,Mo doubt Samsung is best in every segment & TV is fabulous & awesome
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Software issue,3,"Software is not good, many time hanging slow response"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),High money value,5,Value for money. As per price product match the level. Good sound quality and Good picture quality. Update new features.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),High quality,5,High quality and very clear each detail in screen will visible more than HD
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),System lagging,3,"No bill , packet not covered with seal , it was looking used item or returned item . No seller invoice ."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Not a good picture quality,3,"Picture quality is not good, specially in case of songs and action sequence like speedy scenes, it's really bad"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Okay,3,Vision quality is good but OS little slow
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Overall Nice,4,Budget friendly... Quick installation.. Thank you Amazon
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Nice,5,Good product
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Value for money,4,"Good product , value for money"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Beautiful Picture Quality,4,Lack Some Basic Functionality like bluetooth But Still Very fast Operating System and amazing picture and sound quality. It's Good for using as TV and Not Second Screen For Smartphone or laptop
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),"Working very well, one year gone, no problem at all",3,Very nice
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Software issue,3,"Software is not good, many time hanging slow response"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good,5,Good
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Excellent,4,Best product
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Terrific,5,"Good picture Quality, Amazon fast delivery thank you amazon"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),"Old model, with 2 star energy consumption rating. And its app store doesn't have much apps.",2,"If we talk about talk about hardware. It's a great product. But when it's comes to software, specs and electricity consumption it's totally different thing. First of all it's not a android tv. It's smart TV. They both are totally different things. In smart tv it has its own app store which has limited amount of apps to install. And there is no way to install third party apps. Worst part is it's store doesn't even have basic android tv apps. Second it's a 5 years old model so interface is a old samsung operating system. Which looks really outdated. It's energy consumption rating is 2star which is again really outdated, means it consumes more electricity. I'm giving it 2 star because seller tried to hide these things by not mentioning it in description. Overall pretty decent picture quality."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Nice product,5,"Super tv, nice service,he installed TV very well thank you"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Missing table top,4,TV tabletop missing during delivery
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),1st online TV,4,Good TV.... DELIVERY Was quick n safe... Installation was within 24 hrs.... Product is value for money... Picture n sound quality also good ... Day 1 review
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Best buying brand go for it,5,"Nice tv within the budget. Sound quality is good, for picture quality I had to attach hdmi cable from set top box to tv. After that quality is pretty good."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Not satisfied with the product quality.,3,Totally dissatisfied.The remote of the TV was not working since installation dtd. 05.05.2025. Request for the new remote but till date not received (08.05.2025). This is very strange that a normal TV remote is not available and they are selling the product since a long years. Called to the customer care and they said the remote can be replaced on 14.05.2025.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Sound quality not good,4,Sound quality not that good and has bezels but okay for the price
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good,4,"Overall good experience. The picture quality is not amazing, but still good enough. Installation service was good (in Guwahati)"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),TV without table stand,3,The TV box did not come with a stand. Samsung installation people have to order it from Mumbai which will come after 2 days. The advertisement shows the TV with a stand
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black)," Decent Smart TV, But Sound and Color Could Be Better",3,"The Samsung 32-inch has a sleek design and decent smart features, making it a good choice for basic entertainment needs. The interface is smooth, and apps run without lag. However, the sound quality is not very impressive, it lacks depth and feels a bit low even at higher volumes. The color output also seems slightly off, with some shades appearing dull or oversaturated. While it’s a budget-friendly option with Samsung’s reliability, those looking for vibrant picture quality and rich sound might need to consider additional speakers or a higher-end model."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Excellent product and support,5,Excellent picture quality and sound !! Definitely recommended
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good service from amazone,5,Samsung led tv.nice sound and good picture quality.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good tv,4,"Good tv with price flatuation, bought at above 15000 but after some days its cost show near 13000, overall tv performance is good but we need some time when we power on the tv to use its all functions like YouTube or samsung tv."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),elivery agents disagree to open box prior to delivery of the product and asked OTP first.,4,"Product is good but the delivery agent didn't open the box by himself. There is a clear instruction before delivery they need to open, show off and later OTP has to be submitted against successful delivery. But those delivery agents disagree to do so."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Tv stand  not provided in box,3,Tv stand and assembly not provided in box
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Nice product at affordable price point,5,Good Quality product. This tv has good video quality and sound. Easy to set-up. Delivered and installed on time.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Haha good,5,Good
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good TV,5,Good working
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Affordable and Value for Money.,5,I have bought this TV as per my Mom recommendation. Overall the TV is awesome in this price range... Thanks Amazon for this wonderful deal.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Pics not that good,4,Picture quality not upto the mark
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Amazing,4,Nice
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black)," Build quality and service is good. Features , speed feels like too old smart tv for 2025 period .",4,Quality is good . 4 stars for not having google play store*** for apps . Hope its os will get apps to run as monitor more than tv. A bit slow at speed in comparison to modern tv. Felt like old smart tv.sound quality is enough for a single room .voice command was expected .
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Remote not working,3,In a month remote is not working..
